output_file,population_size,num_mutations,mutation_rate,inversion_rate,tournament,score
../data/output\a_an_example1.out.txt,10,5,0.2,0.2,0,1002
../data/output\a_an_example2.out.txt,50,5,0.4,0.4,1,1002
../data/output\a_an_example3.out.txt,100,5,0.6,0.6,0,1002
../data/output\a_an_example4.out.txt,10,10,0.2,0.8,1,1002
../data/output\a_an_example5.out.txt,50,10,0.4,0.2,0,1002
../data/output\a_an_example6.out.txt,100,10,0.8,0.4,1,1002
../data/output\a_an_example7.out.txt,5,100,0.2,0.6,0,1002
../data/output\a_an_example8.out.txt,10,100,0.4,0.8,1,1002
../data/output\a_an_example9.out.txt,50,100,0.6,0.2,0,1002
../data/output\a_an_example10.out.txt,100,100,0.8,0.4,1,1002
